No,Link,Sumber,Tanggal,Tag,PIC
11,https://www.kompas.id/artikel/pengemudi-mikrolet-protes-penambahan-armada-transjakarta-di-stasiun-tebet,kompas.id,10/5/23,,Edward
12,https://www.kompas.id/artikel/transjakarta-nol-kecelakaan,kompas.id,10/11/22,,Edward
13,https://www.kompas.id/artikel/jangan-surut-transjakarta,kompas.id,10/12/21,,Edward
14,https://www.kompas.id/artikel/perubahan-terminal-menyusahkan,kompas.id,4/9/23,,Edward
15,https://www.kompas.id/artikel/walaupun-rusak-halte-bus-transjakarta-layani-penumpang?open_from=Search_Result_Page,kompas.id,2/9/25,,Edward
16,https://www.kompas.id/artikel/halte-dibakar-transjakarta-hentikan-operasional?open_from=Search_Result_Page,kompas.id,30 Agt 2025,,Edward
17,https://www.kompas.id/artikel/seorang-pria-menganiaya-perempuan-di-dalam-bus-transjakarta?open_from=Search_Result_Page,kompas.id,1/6/25,,Edward
18,https://www.tempo.co/politik/alasan-pramono-ubah-nama-halte-senen-jadi-halte-jaga-jakarta-2067649,Tempo.co,8/9/25,,Edward
19,https://www.tempo.co/politik/setelah-diperbaiki-halte-transjakarta-senen-sentral-berubah-nama-menjadi-jaga-jakarta-2067609,Tempo.co,8/9/25,,Edward
20,,,,,Edward
21,,,,,Edward
22,,,,,Edward
23,,,,,Edward
24,,,,,Edward
25,,,,,Edward
26,,,,,Edward
27,,,,,Edward
28,,,,,Edward
29,,,,,Edward
30,,,,,Edward
31,,,,,Edward
32,,,,,Edward
33,,,,,Edward
34,,,,,Edward
35,,,,,Edward
36,,,,,Edward
37,,,,,Edward
38,,,,,Edward
39,,,,,Edward
40,,,,,Edward
41,,,,,Edward
42,,,,,Edward
43,,,,,Edward
44,,,,,Edward
45,,,,,Edward
46,,,,,Edward
47,,,,,Edward
48,,,,,Edward
49,,,,,Edward
50,,,,,Edward
1,https://www.liputan6.com/news/read/5845416/wakil-ketua-dprd-jakarta-tolak-wacana-kenaikan-tarif-jakarta,liputan6.com,21/12/24,Tarif,Anas
2,https://www.liputan6.com/news/read/5982814/libur-lebaran-transjakarta-tambah-operasional-armada-ke-tempat-wisata,liputan6.com,1/4/25,Operasional,Anas
3,https://www.cnnindonesia.com/nasional/20230221154326-12-915899/cerita-penumpang-transjakarta-saat-alami-pelecehan-di-dalam-bus,cnnindonesia.com,21/2/23,Keluhan,Anas
4,https://www.liputan6.com/news/read/6009550/pramono-akui-masalah-konektivitas-transportasi-umum-masih-jadi-kendala,liputan6.com,30/4/25,Operasional,Anas
5,https://www.liputan6.com/news/read/6107916/transjakarta-kembangkan-3-teknologi-ai-untuk-sistem-layanan-dan-operasional,liputan6.com,17/7/25,Operasional,Anas
6,https://www.liputan6.com/news/read/5791201/polisi-tangkap-pria-yang-viral-lempar-kaca-bus-transjakarta-di-jaksel,liputan6.com,16/11/24,Operasional,Anas
7,https://www.liputan6.com/news/read/6176620/perkuat-layanan-saat-hut-tni-transjakarta-kerahkan-151-bus-tambahan,liputan6.com,5/10/25,Layanan,Anas
8,https://www.liputan6.com/news/read/6164948/pramono-anung-bakal-evaluasi-transjakarta-pasca-serangkaian-kecelakaan-sebulan-terakhir,liputan6.com,21/9/25,Keluhan,Anas
9,https://www.liputan6.com/news/read/6163372/transjakarta-tabrak-kios-dan-rumah-di-cakung-6-orang-terluka,liputan6.com,19/9/25,Keluhan,Anas
10,https://www.liputan6.com/news/read/6152606/bus-oleng-dan-tabrak-toko-di-jaksel-transjakarta-minta-maaf-dan-janji-investigasi,liputan6.com,6/9/25,Operasional,Anas
11,https://www.liputan6.com/bisnis/read/6148879/halte-transjakarta-yang-terbakar-siap-berfungsi-pekan-ini,liputan6.com,2/9/25,Operasional,Anas
12,https://www.liputan6.com/news/read/6148945/satu-pelaku-pembakar-halte-transjakarta-ditangkap-ini-identitasnya,liputan6.com,2/9/25,Kriminal,Anas
13,https://www.liputan6.com/feeds/read/5951752/panduan-lengkap-cara-naik-transjakarta-untuk-pemula-berikut-triknya,liputan6.com,29/3/25,Berita,Anas
14,https://www.liputan6.com/news/read/6141481/transjakarta-tambah-armada-dan-rute-baru-atasi-macet-horor-di-tb-simatupang-ini-daftarnya,liputan6.com,25/8/25,Operasional,Anas
15,https://www.liputan6.com/news/read/6117422/rute-transjakarta-dialihkan-buntut-kebakaran-pasar-taman-puring-ini-perubahannya,liputan6.com,28/7/25,Operasional,Anas
16,https://www.liputan6.com/news/read/6107916/transjakarta-kembangkan-3-teknologi-ai-untuk-sistem-layanan-dan-operasional,liputan6.com,17/7/25,Berita,Anas
17,https://www.liputan6.com/news/read/6047842/pria-lansia-yang-teriaki-wanita-teroris-di-transjakarta-minta-maaf,liputan6.com,10/6/25,Sosial,Anas
18,https://www.liputan6.com/news/read/6023777/seorang-penumpang-meninggal-di-toilet-halte-transjakarta-kampung-melayu,liputan6.com,15/5/25,Berita,Anas
19,https://www.liputan6.com/news/read/6000984/penumpang-sebut-transjakarta-kini-lebih-aman-tak-khawatirkan-pelecehan,liputan6.com,21/4/25,Opini,Anas
20,https://www.liputan6.com/news/read/6000577/kata-penumpang-perempuan-yang-naik-transjakarta-gratis-di-hari-kartini-21-april,liputan6.com,21/4/25,Opini,Anas
21,https://www.liputan6.com/bisnis/read/6146760/transjakarta-gratiskan-layanan-selama-seminggu-catat-tanggalnya,liputan6.com,31/8/25,Tarif,Anas
22,https://www.liputan6.com/news/read/6146213/situasi-belum-kondusif-transjakarta-hentikan-seluruh-layanan-pada-sabtu-pagi-ini,liputan6.com,30/8/25,Berita,Anas
23,https://www.liputan6.com/news/read/6126435/viral-moge-masuk-jalur-transjakarta-polisi-motor-kecil-juga-banyak-melanggar-semua-kena-tilang,liputan6.com,7/8/25,Berita,Anas
24,https://www.liputan6.com/otomotif/read/6119038/debut-di-giias-2025-isuzu-elf-nqr-b-siap-jadi-andalan-baru-transjakarta,liputan6.com,30/7/25,Berita,Anas
25,https://www.liputan6.com/news/read/6039163/polisi-buru-penganiaya-wanita-di-halte-transjakarta-grogol-jakbar,liputan6.com,1/6/25,Kriminal,Anas
26,https://www.liputan6.com/global/read/6020347/dubes-belanda-naik-transjakarta-dukung-inisiatif-transportasi-ramah-lingkungan-di-jakarta,liputan6.com,12/5/25,Opini,Anas
27,https://www.liputan6.com/news/read/6122428/eks-jubir-kpk-johan-budi-ditunjuk-jadi-komisaris-transjakarta,liputan6.com,3/8/25,Sosial,Anas
28,https://www.liputan6.com/news/read/6122442/perjalanan-karir-johan-budi-eks-jubir-kpk-kini-jabat-komisaris-transjakarta,liputan6.com,3/8/25,Berita,Anas
29,https://www.liputan6.com/cek-fakta/read/6131038/tarif-rp-80-untuk-transjakarta-mrt-dan-lrt-diperpanjang-jadi-2-hari,liputan6.com,14/8/25,Tarif,Anas
30,https://www.liputan6.com/news/read/4613642/upaya-transjakarta-sediakan-300-bus-listrik-kurangi-emisi-di-jakarta,liputan6.com,25/8/25,Operasional,Anas
31,https://www.liputan6.com/news/read/6144945/rute-transjakarta-koridor-9-dan-6-sebagian-dialihkan-imbas-demo-ricuh-di-dpr-berikut-pengaturannya,liputan6.com,28/8/25,Layanan,Anas
32,https://www.liputan6.com/news/read/6146072/kericuhan-di-polda-metro-jaya-memanas-halte-transjakarta-dibakar-massa,liputan6.com,29/8/25,Berita,Anas
33,https://www.liputan6.com/bola/read/6167637/sambut-jakarta-running-festival-2025-pemprov-dki-jakarta-gratiskan-mrt-dan-transjakarta,liputan6.com,24/9/25,Berita,Anas
34,https://www.liputan6.com/news/read/6146828/layanan-transjakarta-hingga-mikrotrans-berangsur-normal-ini-daftar-rute-yang-bisa-dilalui,liputan6.com,31/8/25,Layanan,Anas
35,https://www.liputan6.com/news/read/6146609/imbas-demo-ricuh-di-jakarta-6-halte-transjakarta-terbakar-16-lainnya-alami-vandalisme,liputan6.com,30/8/25,Berita,Anas
36,https://www.liputan6.com/news/read/6146575/usai-gangguan-sistem-buntut-demo-pemprov-jakarta-gratiskan-transjakarta-hingga-mrt-selama-sepekan,liputan6.com,30/8/25,Layanan,Anas
37,https://www.liputan6.com/news/read/6003692/hari-angkutan-nasional-2025-naik-transjakarta-mrt-dan-lrt-jakarta-gratis,liputan6.com,24/4/25,Layanan,Anas
38,https://www.liputan6.com/news/read/6009252/momen-pramono-anung-bekerja-naik-transjakarta-pada-rabu-pertama,liputan6.com,30/4/25,Berita,Anas
39,https://www.liputan6.com/bisnis/read/6000250/peringati-hari-kartini-21-april-transjakarta-tetapkan-tarif-rp-1-untuk-perempuan,liputan6.com,21/4/25,Tarif,Anas
40,https://www.liputan6.com/news/read/6043058/pria-lansia-yang-cekcok-dan-teriak-teroris-ke-penumpang-wanita-di-blacklist-transjakarta,liputan6.com,4/6/25,Berita,Anas
41,https://www.liputan6.com/lifestyle/read/6057404/naik-transjakarta-krl-commuterline-hingga-mrt-cuma-rp1-di-momen-ulang-tahun-ke-498-kota-jakarta,liputan6.com,22/6/25,Tarif,Anas
42,https://www.liputan6.com/news/read/6090860/transjakarta-uji-coba-bus-listrik-highdeck,liputan6.com,27/6/25,Operasional,Anas
43,https://www.liputan6.com/news/read/6091420/ini-operasional-mrt-transjakarta-saat-btn-jakarta-international-marathon-digelar-besok,liputan6.com,28/6/25,Operasional,Anas
44,https://www.liputan6.com/news/read/6093793/6-fakta-perayaan-hut-bhayangkara-ke-79-di-monas-mulai-hiburan-hingga-promo-tarif-transjakarta,liputan6.com,6/7/25,Sosial,Anas
45,https://www.liputan6.com/news/read/6116083/rute-transjakarta-blok-mancol-resmi-dibuka-gunakan-bus-listrik-untuk-turunkan-emisi,liputan6.com,27/7/25,Layanan,Anas
46,https://www.liputan6.com/news/read/6027258/demo-ojol-20-mei-2025-transjakarta-alihkan-rute-sesuai-kondisi-lapangan,liputan6.com,20/5/25,Layanan,Anas
47,https://www.liputan6.com/news/read/6015193/bus-transjakarta-akan-melintas-di-terminal-sawangan-dan-margonda-ini-rutenya,liputan6.com,6/5/25,Operasional,Anas
48,https://www.liputan6.com/news/read/6134215/transjakarta-modifikasi-layanan-di-19-rute-saat-pesta-rakyat-hut-ke-80-ri,liputan6.com,16/8/25,Layanan,Anas
49,https://www.liputan6.com/otomotif/read/6135408/peringati-hut-ke-80-ri-desain-unik-hiasi-armada-bus-transjakarta,liputan6.com,18/8/25,Sosial,Anas
50,https://www.liputan6.com/news/read/6145209/info-operasional-krl-commuterline-hingga-transjakarta-hari-ini-usai-demo-28-agustus-berakhir-ricuh,liputan6.com,29/8/25,Operasional,Anas
